"Type","SousType","Nom","Description","Addresse","Link","E-mail","Id-Media","CommUrb","Latitude","Longitude"
"Tourisme_Culture","Eglises","Cattedrale di Santa Maria Assunta","Edificio religioso nel centro storico di Ventimiglia. Eretta tra l'XI e il XII secolo sulle rovine di una precedente cattedrale dell'epoca carolingia. Al suo interno è custodita l’iscrizione attestante che la cattedrale fu costruita sul luogo ove anticamente sorgeva un tempio pagano dedicato a Giunone.","Piazza Cattedrale",,,"Cattedrale-santa-maria-assunta","Vintimille","43.472801","7.360992"
"Tourisme_Culture","Eglises","Battistero della Cattedrale ","Attiguo alla Cattedrale, a una quota inferiore, è presente il battistero, intitolato a san Giovanni Battista. Costruito nell'XI secolo su pianta ottagonale, all'interno racchiude un'antica vasca ad immersione.","Piazza Cattedrale",,,"L'abside_della_cattedrale_di_Ventimiglia","Vintimille","43.472801","7.360992"
"Tourisme_Culture","Eglises","Chiesa di San Michele Arcangelo","La chiesa fu costruita nel X secolo dai Conti di Ventimiglia ad uso cappella gentilizia ed in seguito affidata ai monaci Benedettini di Lerino. La struttura fu rivista in stile romanico nell'XI secolo e ancora nel XII secolo, quando vennero ricostruiti l'abside, la navata centrale e il campanile.","Piazza Colletta                                                  Tel: +39 0184 2801",,,"Ventimiglia_Alta-chiesa_di_san_michele","Vintimille","43.792872","7.599529"
"Tourisme_Culture","Eglises","Chiesa di Sant'Agostino","La chiesa di Sant'Agostino sorge nel cuore della città moderna di Ventimiglia. Realizzata nel 1490, la struttura architettonica della chiesa riprende lo stile tardo gotico degli edifici religiosi conventuali, ossia tre navate con volte a crociera sostenute da pilastri compositi. ","Via Cavour, 55                                                   Tel: +39 0184 351415",,,"Chiesa di Sant'Agostino","Vintimille","43.793216","7.607934"
"Tourisme_Culture","Eglises","Oratorio di S. Secondo detto dei Neri","L'oratorio dedicato al glorioso martire e patrono di Ventimiglia, San Secondo fu costruito nel 1650 come sede della Confraternita della Misericordia. Presenta una caratteristica facciata in stile tardo barocco.","Via Garibaldi",,,"oratorio-dei-neri-ventimiglia","Vintimille","43.842091","7.600042"
"Tourisme_Culture","Eglises","Chiesa di Sant'Antonio Abate - Convento delle Canonichesse Lateranensi","L'Imponente monumento è una tra le principali opere barocche della Regione;  venne innalzato nel 1667 per volontà dei cittadini, desiderosi di fornire alla Diocesi un convento femminile. Dal 1843 il complesso conventuale è retto dalle Figlie di Maria Santissima dell'Orto, che vi aprirono l'educandato.","Via al Capo, 4",,,"Chiesa di Sant'Antonio Abate_Convento delle Canonichesse Lateranensi","Vintimille","43.828223","7.638494"
"Tourisme_Culture","Eglises","Chiesa di S. Antonio ","Nella Chiesa dedicata a S. Antonio si conserva un pregevole polittico del XVI secolo con al centro  la Madonna col Bambino.","Frazione S. Antonio ",,,,"Vintimille","43.816383","7.55695"
"Tourisme_Culture","Eglises","Chiesa Parrocchiale di Torri","L’attuale chiesa parrocchiale è stata edificata negli anni anteriori al 1844, con il titolo di Maria Santissima Addolorata per sostituire quella precedente di San Luigi  che è oggi Oratorio. Nel 1876, la parrocchiale è stata dotata di un pregevole organo Agati, giunto dalla Cattedrale. ","Piazza Caduti della Libertà - Frazione Torri",,,,"Vintimille","43.838396","7.552776"
"Tourisme_Culture","Eglises","Santuario di Nostra Signora dell'Aria Aperta","Santuario seicentesco  dalla caratteristica facciata sulla quale sono apposte una serie di lapidi e terracotte policrome. Al suo interno ospita un'interessante collezione di ex voto.","Frazione Mortola Superiore",,,"Santuario di Nostra Signora dell'Aria Aperta","Vintimille","43.78448","7.539316"
"Tourisme_Culture","Eglises","Chiesa di S. Mauro","La Chiesa sita al centro del piccolo borgo  di case dai colori tipicamente  liguri  è nota  per la sua posizione panoramica eccezionale. Il suo campanile con cuspide a cupolino, svetta sulle piccole baie sottostani, dal mare cristallino, tra le quali spicca quella  del ""Beniamin"".","Frazione Mortola Inferiore",,,"Chiesa di S. Mauro","Vintimille","43.78324","7.555454"

