"Type","SousType","Nom","Description","Addresse","Link","E-mail","Id-Media","Comm Urb","Latitude","Longitude"
"Tourisme_Culture ","Monuments","Porta Canarda","A doppio arco gotico, eretta nel XIII secolo, costituiva la porta d'accesso occidentale alla città murata, dove controllava una posizione strategica, sul mare e sull'antica strada romana, la via Iulia Augusta. ","Via Iulia Augusta",,,,"Vintimille","43.820296","7.591802"
"Tourisme_Culture","Monuments","Porta Marina e Porta del Cioùssu","Sono le uniche Porte che presentano ancora tracce delle precedenti mura del XII secolo . La porta  della Marina consentiva l'accesso al borgo marinaro e attraverso Via Falerina lo collegava alle principali sedi cittadine: il Castello, la cattedrale, il battistero, il palazzo vescovile. ","Via Trossarelli",,,,"Vintimille","43.790196","7.605197"
"Tourisme_Culture","Monuments","Porta Nizza o di S. Francesco","Con arco ribassato risalente alla ricostruzione genovese delle mura (1529),  dal caratteristico paramento lapideo a bugnato ottocentesco.","Via Garibaldi",,,,"Vintimille","43.792083","7.599515"
"Tourisme_Culture","Monuments","Porta Piemonte o di S. Michele ","Presenta una cornice a bugnato in puddinga ottocentesca che conserva ancora i suoi antichi battenti in legno, ricoperti da lamine di ferro fissate con chiodi. Accanto si ammira una fontana cinquecentesca con mascheroni","Piazza Colletta",,,,"Vintimille","43.79326","7.599473"
"Tourisme_Culture ","Monuments","Teatro Romano","Edificata tra II e III secolo, la struttura di forma semicircolare è rivestita, in gran parte, con  pietra calcarea bianca proveniente dalle cave da La Turbie. Si accedeva nel teatro dall'entrata ovest che oggi rappresenta la parte meglio conservata del monumento. Il sito fu abbandonato nel IV secolo.","Corso Genova",,,,"Vintimille","43.78914","7.621424"
"Tourisme_Culture","Monuments","Palazzi storici e Giardini pensili della Città Medioevale - Palazzo Galleani e Palazzo Orengo","I Palazzi nobiliari siti nel lato sud di Via Garibaldi, celano incredibili giardini pensili affacciati sulle mura cinquecentesche verso il mare, ricchi di piante esotiche.  Il Palazzo Galleani  con facciata tardo rinascimentale, il Palazzo del Banco di S. Giorgio, il Palazzo Orengo-Cottavino, il Palazzo Biancheri. ","Via Garibaldi",,,,"Vintimille","43.791032","7.601763"
"Tourisme_Culture","Monuments","Villa e Giardini di Boccanegra ","La Villa prende il nome dal rio omonimo che la costeggia a ponente ed è risalente al XVII secolo. La trasformazione del giardino si deve alla botanica inglese Ellen Wilmott, amica degli Hanbury , che nel 1905 acquistò la proprietà e vi introdusse piante rare ed esotiche provenienti dall'Australia, Nuova Zelanda e Sudafrica. Il giardino si sviluppa a gradoni  a picco sul mare. La Villa è attualmente di proprietà della Famiglia Piacenza e visitabile previo appuntamento.","Corso Toscanini",,,,"Vintimille","43.790537","7.597922"
"Tourisme_Culture","Monuments","Ville marittime della Piana di Latte ","La Piana di Latte venne eletta tra il '500 ed il '600 a luogo di villeggiatura della nobiltà ventimigliese e del Vescovo che vi costriuirono le loro dimore, affacciate sul mare , con ricchi portali e giardini di piante esotiche, ulivi ed agrumi. Di rilievo  Villa Orengo Sella con nucleo centrale a torre, Villa Eva dove sono state trovate strutture romane risalenti ad una dimora di epoca imperiale, Villa Massa, Villa Honesto Hotio con facciate dipinte e cappella gentilizia, Villa Corinna e le fortificazioni antibarbareschi. Le residenze sono aperte al pubblico in occasione di eventi culturali ed alcune sono visitabili previa richiesta.","Via Romana, 25, 39, 49 ",,,,"Vintimille","43.791466","7.567667"
,,,,,,,,,,

