"Type","SousType","Nom","Description","Addresse","Link","E-mail","IdMedia","ComUrbaine","Latitude","Longitude"
"Transports","Bus_urbain_retour","Fermata",,"Via caduti del Lavoro 20",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia (Roverino)","43.80844","7.594017"
"Transports","Bus_urbain_retour","Fermata",,"Via Eugenio Montale 5",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia (Roverino)","43.807356","7.595326"
"Transports","Bus_urbain_retour","Fermata",,"Corso Limone Piemonte 118",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.805637","7.595755"
"Transports","Bus_urbain_retour","Fermata",,"Corso Limone Piemonte 65",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.80398","7.597193"
"Transports","Bus_urbain_retour","Fermata",,"Via Tenda 43_Centro commerciale",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.802075","7.598352"
"Transports","Bus_urbain_retour","Fermata",,"Via Tenda 5_Cimitero",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.799659","7.600562"
"Transports","Bus_urbain_retour","Fermata",,"Piazza Costituente",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.791791","7.60333"
"Transports","Bus_urbain_retour","Fermata",,"Via Roma 5",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.791667","7.606591"
"Transports","Bus_urbain_retour","Fermata",,"Via Roma 14",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.791558","7.606978"
"Transports","Bus_urbain_retour","Fermata",,"Via Roma 23",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.790319","7.60981"
"Transports","Bus_urbain_retour","Fermata",,"Via Dante Alighieri 35",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.787639","7.616312"
"Transports","Bus_urbain_retour","Fermata",,"Corso Genova 88",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.788739","7.621869"
"Transports","Bus_urbain_retour","Fermata",,"Corso Genova 120",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.789235","7.624766"
"Transports","Bus_urbain_retour","Fermata",,"Via Emilio Basso",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.789127","7.62586"
"Transports","Bus_urbain_retour","Fermata",,"Via Lamboglia 33",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.787376","7.62659"
"Transports","Bus_urbain_retour","Fermata",,"Rotonda Lungomare Varaldo 2",,,"Horaires_Bus_Urbain_Ventimiglia.jpg","Ventimiglia ","43.785269","7.628071"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

