"Type","SousType","Nom","Description","Adresse","E-mail","Link","IdMedia","ComUrbaine","Latitude","Longitude","Altitude"
"Adresses_Utiles_ Services","Eglises","Eglise Saint Laurent","L'église de style baroque a été entièrement remaniée en 1804. On peut y admirer de magnifiques statues de la Vierge à l’Enfant datant du XVème siècle ainsi qu'une statue en bois de Saint Sébastien datant de 1620. Sur le même parvis, se trouve la chapelle Sainte-Croix des Pénitents Blancs.","Rue de l'Eglise      06390 Berre les Alpes",,,,"Pays des Paillons","43.830392","7.329479",
"Adresses_Utiles_ Services","Eglises","Église Sante-Marie","Eglise paroissale Sainte Marie dite la Madone Villevieille. Eglise romane du XIème siècle classée  Monument historique.","Avenue de la Tour 06390 Châteauneuf- Villevieille ",,,"Eglise-Sante-Marie-Chateauneuf.jpg","Pays des Paillons","43.80890","7.29617",
"Adresses_Utiles_ Services","Eglises","Eglise Saint Pierre-Es-Liens","L’église, érigée au XVII ème siècle, et ses deux chapelles sont des monuments historiques classés depuis 1948. Oeuvre de la période baroque,  cette église renferme des trésors du patrimoine français dont l'orgue, construit en 1791.","Place Carnot         06440 L'Escarène        Contact: 04 93 79 50 73","paroisse.escarene@free.fr ","http://paroisse.escarene.free.fr","Eglise-St-Pierre-Es-Liens-Escarene.jpg","Pays des Paillons","43.834357","7.355304",
"Adresses_Utiles_ Services","Eglises","Chapelle des Pénitents Noirs","La chapelle en cours de restauration, souligne la volonté de valorisation du patrimoine escarenois. Cet espace accueillera des manifestations et évènements culturels.","Place Carnot          06440 L'Escarène   ",,,,"Pays des Paillons","43.834357","7.355304",
"Adresses_Utiles_ Services","Eglises","Chapelle des Pénitents Blancs","Merveilleusement remise en état, la chapelle des Pénitents Blancs est dédiée au culte. Les Confréries des Pénitents furent à l'origine des chapelles. Le schéma de restauration s'est traduit notamment par une conservation des peintures murales.","Place Carnot           06440 L'Escarène   ",,,"Chapelle-Penitents-Blancs-Escarene.jpg","Pays des Paillons","43.834357","7.355304",
"Adresses_Utiles_ Services","Eglises","Eglise Sainte Marguerite ","Consacrée le 20 juillet 1525, elle a été  agrandie, embellie en plusieurs étapes. L'intérieur de l'église a été baroquisé à la fin du XVII ème siècle, avec un décor rococo. L'église possède six rétables du XV ème siècle dont celui de St Pierre et St Paul attribués à Louis Bréa.  ","6 Rue de l'Église    06440 Lucéram ",,,,"Pays des Paillons","43.883289","7.361582",
"Adresses_Utiles_ Services","Eglises","Chapelle Bleue","Ancien oratoire dédié à la vierge, située sur le site du Gréssier. Cette chapelle peinte dans un camaïeu de bleu, fut décorée en 1962 par le peintre Ponce de Léon. Ces peintures illustrent la Nativité, la Crucifixion et la Résurrection de Jésus.","Avenue Théophile Gilli     06390 Coaraze",,,"Chapelle-Bleue-Coaraze.jpg","Pays des Paillons","43.86650","7.29179",
"Adresses_Utiles_ Services","Eglises","Chapelle Saint-Sébastien ","Construite vers 1530, la chapelle est décorée de peintures, non précisément datées, mais remontant au XVI ème siècle. Elle a été restaurée en 1914. Elle est ouverte pour le journées du patrimoine ou sur demande.","401 Route du Jouncas    06390 Coaraze ",,,,"Pays des Paillons","43.853","7.2884722",
"Adresses_Utiles_ Services","Eglises","Chapelle Notre Dame du Terron","Ancienne possession de la famille Grimaldi de Monaco et dominant Blausasc, la chapelle dédiée à la Nativité de la Vierge fut construite en 1642 au quartier Castel. Ella a sa source miraculeuse où venaient boire et se laver les malades.
","Chemin Notre Dame du Terron   06440 Blausasc",,,,"Pays des Paillons","43.806644 ","7.369119 ","503m "
"Adresses_Utiles_ Services","Eglises","Chapelle des Pénitents blancs","Erigée au XII ème siècle, elle est caractérisée par une fresque réalisée par le peintre piémontais Giovanni Canavesio. Patrimoine classé.                         ","Camin de la Madona 06440 Peillon village  Contact: 06 24 97 42 25",,,,"Pays des Paillons","43.77902","7.38136","456 m."
"Adresses_Utiles_ Services","Eglises","Eglise Sainte Marie","Cette vieille église en pierre de taille du pays, classée monument historique, ancienne possession de l'Abbaye de Saint-Pons, fut occupée pendant cinq siècles par les Chanoines de St Ruff. Ils l'agrandirent et lui rajoutèrent, au XIIème siècle, son superbe clocher pyramidal.","Chemin Saint-Bernard 06440 Peille",,,,"Pays des Paillons","43.804669","7.403557",
"Adresses_Utiles_ Services","Eglises","Chapelle Sainte Catherine ","Chapelle du XIII ème siècle  située sur la colline de Drap à 360 mètres d'altitude (un des plus beaux panorama des AM). Edifice dont la nef fut remaniée plusieurs fois. ","Chemin de la Chapelle 06340 Drap  Service de la Culture: 04 93 01 45 55",,,"Chapelle-St-Catherine-Drap.jpg","Pays des Paillons","43.761114","7.32924","360 m."

